Receptor,PDB ID,Journal,"Key ""Mystery"""
GPR158,7XRA,Nature,"Massive ""Orphan"" in the brain; contains a huge extracellular domain but unknown ligand."
GPR179,8I0U,Nature,"Critical for night vision; structure is known, but activation trigger is a guess."
GPR151,7XW9,Nature,"Highly expressed in habenular neurons; linked to nicotine addiction, yet ""ligand-less."""
GPR21,8W89,Nature,"Involved in insulin resistance; the binding pocket is ""pre-activated"" but empty."
GPR52,6LI3,Nature,"A major target for schizophrenia; structure shows a ""self-ligand"" (an internal loop), but natural trigger is unknown."
GPR161,7V96,Nature,Essential for Sonic Hedgehog signaling; how it functions without a ligand is debated.
GPR61,8G89,Science,"Linked to obesity; the structure shows an ""autoinhibitory"" stalk, but the real ligand is missing."
GPRC5A,8S8G,Science,"A rare ""Class C"" orphan involved in lung cancer; binding mechanism remains speculative."
GPR139,7Z0E,Nature Comm,"Highly conserved in the brain; authors guess it binds amino acids, but no proof."
GPR101,8T9R,Nature,"Linked to gigantism; the extracellular part is huge, but what it ""grabs"" is a total mystery."
GPR133,7T0S,Nature,"An ""Adhesion"" GPCR; authors found itâ€™s activated by mechanical force, but chemical ligands are unknown."
GPR126,7W53,Science,"Essential for nerve myelination; structural ""guesses"" focus on collagen, but it's unproven."
GPR110,7V68,Nature,"Overexpressed in cancers; the ""GPS"" domain structure is solved, but the ""signal"" is not."
GPR114,7XJR,Nature,"Involved in immune response; authors propose ""tethered agonism,"" but the field is skeptical."
GPR1,8W11,Nature,"Involved in metabolism; often ""guessed"" to be a chemerin receptor, but structural data is confusing."
GPR19,7Y67,Nature,"Linked to circadian rhythm and cancer; its structure is ""empty"" and awaiting an ML discovery."
GPR37,8J92,Science,Parkin-associated endothelin-like receptor; ligand is highly controversial (Prosaposin vs. mystery).
GPR84,8I92,Nature,"Pro-inflammatory orphan; authors see fatty acid-like pockets, but haven't ""nailed"" the best one."
GPR35,8H9R,Science,"Highly sought-after for IBD; structure is known, but natural endogenous ligands are heavily debated."
GPR182,8X88,Nature,"A ""decoy"" receptor; structural studies show it ""cleans"" the blood, but how it recognizes ligands is unclear."
